texte,titre,auteur
"“The twinkling of the _what?_” said the King. “It _began_ with the tea,” the Hatter replied. “Of course twinkling begins with a T!” said the King sharply. “Do youtake me for a dunce? Go on!” “I’m a poor man,” the Hatter went on, “and most things twinkled afterthat—only the March Hare said—” “I didn’t!” the March Hare interrupted in a great hurry. “You did!” said the Hatter. “I deny it!” said the March Hare. “He denies it,” said the King: “leave out that part.” “Well, at any rate, the Dormouse said—” the Hatter went on, lookinganxiously round to see if he would deny it too: but the Dormouse deniednothing, being fast asleep. “After that,” continued the Hatter, “I cut some more bread-and-butter—” “But what did the Dormouse say?” one of the jury asked. “That I can’t remember,” said the Hatter. “You _must_ remember,” remarked the King, “or I’ll have you executed.” The miserable Hatter dropped his teacup and bread-and-butter, and wentdown on one knee. “I’m a poor man, your Majesty,” he began. ",Alice's Adventures in Wonderland,Lewis Carroll
"The first thing she heard was a general chorus of “There goes Bill!”then the Rabbit’s voice along—“Catch him, you by the hedge!” thensilence, and then another confusion of voices—“Hold up his head—Brandynow—Don’t choke him—How was it, old fellow? What happened to you? Tellus all about it!” Last came a little feeble, squeaking voice, (“That’s Bill,” thoughtAlice,) “Well, I hardly know—No more, thank ye; I’m better now—but I’ma deal too flustered to tell you—all I know is, something comes at melike a Jack-in-the-box, and up I goes like a sky-rocket!” “So you did, old fellow!” said the others. “We must burn the house down!” said the Rabbit’s voice; and Alicecalled out as loud as she could, “If you do, I’ll set Dinah at you!” There was a dead silence instantly, and Alice thought to herself, “Iwonder what they _will_ do next! If they had any sense, they’d take theroof off.” After a minute or two, they began moving about again, andAlice heard the Rabbit say, “A barrowful will do, to begin with.” ",Alice's Adventures in Wonderland,Lewis Carroll
"“Nobody asked _your_ opinion,” said Alice. “Who’s making personal remarks now?” the Hatter asked triumphantly. Alice did not quite know what to say to this: so she helped herself tosome tea and bread-and-butter, and then turned to the Dormouse, andrepeated her question. “Why did they live at the bottom of a well?” The Dormouse again took a minute or two to think about it, and thensaid, “It was a treacle-well.” “There’s no such thing!” Alice was beginning very angrily, but theHatter and the March Hare went “Sh! sh!” and the Dormouse sulkilyremarked, “If you can’t be civil, you’d better finish the story foryourself.” “No, please go on!” Alice said very humbly; “I won’t interrupt again. Idare say there may be _one_.” “One, indeed!” said the Dormouse indignantly. However, he consented togo on. “And so these three little sisters—they were learning to draw,you know—” “What did they draw?” said Alice, quite forgetting her promise. “Treacle,” said the Dormouse, without considering at all this time. ",Alice's Adventures in Wonderland,Lewis Carroll
"The executioner’s argument was, that you couldn’t cut off a head unlessthere was a body to cut it off from: that he had never had to do such athing before, and he wasn’t going to begin at _his_ time of life. The King’s argument was, that anything that had a head could bebeheaded, and that you weren’t to talk nonsense. The Queen’s argument was, that if something wasn’t done about it inless than no time she’d have everybody executed, all round. (It wasthis last remark that had made the whole party look so grave andanxious.) Alice could think of nothing else to say but “It belongs to theDuchess: you’d better ask _her_ about it.” “She’s in prison,” the Queen said to the executioner: “fetch her here.”And the executioner went off like an arrow. The Cat’s head began fading away the moment he was gone, and, by thetime he had come back with the Duchess, it had entirely disappeared; sothe King and the executioner ran wildly up and down looking for it,while the rest of the party went back to the game. ",Alice's Adventures in Wonderland,Lewis Carroll
"“I haven’t the least idea what you’re talking about,” said Alice. “I’ve tried the roots of trees, and I’ve tried banks, and I’ve triedhedges,” the Pigeon went on, without attending to her; “but thoseserpents! There’s no pleasing them!” Alice was more and more puzzled, but she thought there was no use insaying anything more till the Pigeon had finished. “As if it wasn’t trouble enough hatching the eggs,” said the Pigeon;“but I must be on the look-out for serpents night and day! Why, Ihaven’t had a wink of sleep these three weeks!” “I’m very sorry you’ve been annoyed,” said Alice, who was beginning tosee its meaning. “And just as I’d taken the highest tree in the wood,” continued thePigeon, raising its voice to a shriek, “and just as I was thinking Ishould be free of them at last, they must needs come wriggling downfrom the sky! Ugh, Serpent!” “But I’m _not_ a serpent, I tell you!” said Alice. “I’m a—I’m a—” “Well! _What_ are you?” said the Pigeon. “I can see you’re trying toinvent something!” ",Alice's Adventures in Wonderland,Lewis Carroll
"“Oh, a song, please, if the Mock Turtle would be so kind,” Alicereplied, so eagerly that the Gryphon said, in a rather offended tone,“Hm! No accounting for tastes! Sing her ‘_Turtle Soup_,’ will you, oldfellow?” The Mock Turtle sighed deeply, and began, in a voice sometimes chokedwith sobs, to sing this:— “Beautiful Soup, so rich and green,Waiting in a hot tureen!Who for such dainties would not stoop?Soup of the evening, beautiful Soup!Soup of the evening, beautiful Soup!    Beau—ootiful Soo—oop!    Beau—ootiful Soo—oop!Soo—oop of the e—e—evening,    Beautiful, beautiful Soup! “Beautiful Soup! Who cares for fish,Game, or any other dish?Who would not give all else for two pennyworth only of beautiful Soup?Pennyworth only of beautiful Soup?    Beau—ootiful Soo—oop!    Beau—ootiful Soo—oop!Soo—oop of the e—e—evening,    Beautiful, beauti—FUL SOUP!”  “Chorus again!” cried the Gryphon, and the Mock Turtle had just begunto repeat it, when a cry of “The trial’s beginning!” was heard in thedistance. ",Alice's Adventures in Wonderland,Lewis Carroll
"“And now which is which?” she said to herself, and nibbled a little ofthe right-hand bit to try the effect: the next moment she felt aviolent blow underneath her chin: it had struck her foot! She was a good deal frightened by this very sudden change, but she feltthat there was no time to be lost, as she was shrinking rapidly; so sheset to work at once to eat some of the other bit. Her chin was pressedso closely against her foot, that there was hardly room to open hermouth; but she did it at last, and managed to swallow a morsel of thelefthand bit. *      *      *      *      *      *      *     *      *      *      *      *      * *      *      *      *      *      *      *  “Come, my head’s free at last!” said Alice in a tone of delight, whichchanged into alarm in another moment, when she found that her shoulderswere nowhere to be found: all she could see, when she looked down, wasan immense length of neck, which seemed to rise like a stalk out of asea of green leaves that lay far below her. ",Alice's Adventures in Wonderland,Lewis Carroll
"The Mouse only growled in reply. “Please come back and finish your story!” Alice called after it; andthe others all joined in chorus, “Yes, please do!” but the Mouse onlyshook its head impatiently, and walked a little quicker. “What a pity it wouldn’t stay!” sighed the Lory, as soon as it wasquite out of sight; and an old Crab took the opportunity of saying toher daughter “Ah, my dear! Let this be a lesson to you never to lose_your_ temper!” “Hold your tongue, Ma!” said the young Crab, a littlesnappishly. “You’re enough to try the patience of an oyster!” “I wish I had our Dinah here, I know I do!” said Alice aloud,addressing nobody in particular. “She’d soon fetch it back!” “And who is Dinah, if I might venture to ask the question?” said theLory. Alice replied eagerly, for she was always ready to talk about her pet:“Dinah’s our cat. And she’s such a capital one for catching mice youcan’t think! And oh, I wish you could see her after the birds! Why,she’ll eat a little bird as soon as look at it!” ",Alice's Adventures in Wonderland,Lewis Carroll
"“How fond she is of finding morals in things!” Alice thought toherself. “I dare say you’re wondering why I don’t put my arm round your waist,”the Duchess said after a pause: “the reason is, that I’m doubtful aboutthe temper of your flamingo. Shall I try the experiment?” “He might bite,” Alice cautiously replied, not feeling at all anxiousto have the experiment tried. “Very true,” said the Duchess: “flamingoes and mustard both bite. Andthe moral of that is—‘Birds of a feather flock together.’” “Only mustard isn’t a bird,” Alice remarked. “Right, as usual,” said the Duchess: “what a clear way you have ofputting things!” “It’s a mineral, I _think_,” said Alice. “Of course it is,” said the Duchess, who seemed ready to agree toeverything that Alice said; “there’s a large mustard-mine near here.And the moral of that is—‘The more there is of mine, the less there isof yours.’” “Oh, I know!” exclaimed Alice, who had not attended to this lastremark, “it’s a vegetable. It doesn’t look like one, but it is.” ",Alice's Adventures in Wonderland,Lewis Carroll
"The players all played at once without waiting for turns, quarrellingall the while, and fighting for the hedgehogs; and in a very short timethe Queen was in a furious passion, and went stamping about, andshouting “Off with his head!” or “Off with her head!” about once in aminute. Alice began to feel very uneasy: to be sure, she had not as yet had anydispute with the Queen, but she knew that it might happen any minute,“and then,” thought she, “what would become of me? They’re dreadfullyfond of beheading people here; the great wonder is, that there’s anyone left alive!” She was looking about for some way of escape, and wondering whether shecould get away without being seen, when she noticed a curiousappearance in the air: it puzzled her very much at first, but, afterwatching it a minute or two, she made it out to be a grin, and she saidto herself “It’s the Cheshire Cat: now I shall have somebody to talkto.” “How are you getting on?” said the Cat, as soon as there was mouthenough for it to speak with. ",Alice's Adventures in Wonderland,Lewis Carroll
